product,title,rating,body
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Overall a good phone 👌,5.0,Good phoneDecent look and looks stylishCamera and battery quality are super goodGood phone in this range 👍But delivery service is not good
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Not good,2.0,Not good phone stopped working after some time so i didn't suggest you this...
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Dont buy.. after 10 to.15 mins gaming phone lagging too much,1.0,Dont buy.. after 10 to.15 mins gaming phone lagging too much
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Worst,2.0,"Worst product, not as expected its not even a month and ut hangs so much! Its front camera is just worst, only it's first look is good nothing else. Don't go for it!! Redmi note 8 and even note 5 is much better than it!😤 Completely disappointed 😤😤😤"
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Don't buy. Reviewed on 31.10.2020,2.0,Here my product review after usage of 3 months.Cons:If you bought this mobile you can't exchange. I have tried but not able to exchange my device.Please check by clicking the exchange option and you can take the decision.Now you can understand why you should not by this mobile.Gaming - Mobile heating and lagging when you playing high graphics gameBattery - 5020mAh battery. Moderate performFor charging it's take 2.4 hrs per day from 0 to 100.Macro camera - useless featureFront and Rear camera - Not good compare with realme 6000rs mobile camera.UI is fine but consuming more ramMany pre-installed application could not able to delete ( Mi app).I suggest please buy some other brand don't waste your money like me.
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Good phone..,5.0,Totally impressed by the built and looks. For 13k I thought of getting realme 6i but the stocks barely last..!So I decided to get this phone. The phone is great and smooth. Gaming experience is also good but not as good as g90t.G85 is a decent processor with great daily life performance!If 12k is your budget go for it..Or 13k..realme 6i and 14k... Go for poco m2. Scarlet red looks stunning!!
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Loll !!  I am the first to review this 🤩👇,5.0,Awesome product 💎Value for money 💵Best in segment📱For normal usage this one is the best 🙌Long battery life 🤳 when compared to other smartphones.Camera is ok for this price📸Charging is comparitively slow it takes 2 - 2 and half hrs or more to get full charged.🕕 Overall its best for the price  👍
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Everything nice but only body vibration problem due to plastic back,4.0,Very nice Phone.. smooth performance.. charge service decent.. screen quality superb.. sound ok.. but body vibration issue is here.. in speaker mode or at time of calling body vibration present.. no notification light.. overall decent performance at this price.. phone support only 18 watt fast charge. But charger support 22.5 watt..
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Not good like other phones of xiaomi.,3.0,"My Mobile phone has some screen issue. On completely black wall paper or black background there's a permanent white dot (like screen is defective) on the screen but i requested for the replacement soon device will be replaced. Although device is preety average, ram management is not that good.go for the snapdragon rather than mediatek.Pubg lags sometimes on medium settings and there's a ton of preloaded apps from which some apps you cannot uninstall.there are several options in the market other than xiaomi. So,choose your device wisely."
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Excellent choice at this price,5.0,"Hi I am writing this review post usage of 7 days,1. The Dsiplay is perfect better than Samsung M21 in the similar price range. The display is Full HD+ whereas its counter parts are not offering that.2. The camera scores over its counter parts whereas not much variations available in Selfie but fantastic at this price.3. The specifications are more or less similar to Mi Note 8 except the processor, it's Helios G85 in this one whereas its Qualcomm in Note 8 i.e 625.4. Note 8 had 4K video capture option but not with the latest  Note 9.5. The battery stays long as promised as I am not a gamer the battery lasts for over a day and half.6. This had P2i protection towards splash but not with Note 8.7. To conclude I shall recommend this phone as no brands available at such good price.Thanks for reading god bless . Enjoy"
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Volue for money,4.0,Ultra wide shots
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Nice color and awsome front camera .....,5.0,Nice color as of now working fine no hang or lag front camera is awesome sound loud and clearNetwork connectivity is also strong .......Go for it if you have budget of 12000 if you can add more 2000 then go for redmi note 9 proCHARGER NOT WORKING AFTER 20 MIN OF CHARGING ORDER FOR REPLACEMENT ..THANKS AMAZON FOR REPLACEMENT
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Good Phone ! BUT Camera is Not Upto Mark,4.0,"Good Phone----MI Mobile is OK .Battery is ExcellentProcessor is Very FastCamera Not Upto MarkThis is not 48 Megapixel CameraReally Good Camera But Not 48 MP , Selfie Also is not Upto MarkDisplay Quality is Very Good , Colour is Punchy (1080) PSound Quality is Nice  , But Note this is Not Dolby Atmos"
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display",Overall Good Mobile,4.0,Good Mobile......But little bit disappointed with Processor and High Cost
